date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-04-01,12.981,6.4309998,9.389334,0.0,15.4800005,14.05,5.35,9.635417,0.6,15.146761,-1.0690002,1.0690002,1.0809999,1.0809999,-0.24608326,0.24608326,-0.6,0.6,0.33323956,0.33323956
2025-04-02,16.531,6.881,11.539334,0.0,18.359999,16.9,6.0,10.958332,0.0,18.273325,-0.36899948,0.36899948,0.88100004,0.88100004,0.58100224,0.58100224,0.0,0.0,0.08667374,0.08667374
2025-04-03,18.681,7.381,13.253917,0.0,11.879999,18.45,5.8,12.0270815,0.0,11.103243,0.230999,0.230999,1.5809999,1.5809999,1.2268353,1.2268353,0.0,0.0,0.7767563,0.7767563
2025-04-04,19.831,9.281,14.86225,0.1,16.56,19.5,5.5,12.860417,0.2,14.082628,0.33099937,0.33099937,3.7810001,3.7810001,2.001833,2.001833,-0.1,0.1,2.4773712,2.4773712
2025-04-05,11.181001,1.9309999,5.5393333,0.8000001,27.359999,7.85,0.9,4.48125,1.0,27.727594,3.3310008,3.3310008,1.0309999,1.0309999,1.0580835,1.0580835,-0.19999993,0.19999993,-0.36759567,0.36759567
2025-04-06,4.1809998,-0.76900005,1.7435001,0.0,24.84,4.2,-0.9,1.3708333,0.0,24.412407,-0.019000053,0.019000053,0.13099992,0.13099992,0.37266684,0.37266684,0.0,0.0,0.42759323,0.42759323
2025-04-07,7.9809995,-1.069,3.7539165,3.1999998,18.0,7.15,-2.85,2.76875,2.8000002,18.65151,0.8309994,0.8309994,1.7809999,1.7809999,0.98516655,0.98516655,0.39999962,0.39999962,-0.65151024,0.65151024
2025-04-08,8.931001,2.881,5.4435,0.1,18.0,9.2,0.75,4.560416,0.3,22.511517,-0.2689991,0.2689991,2.131,2.131,0.8830838,0.8830838,-0.20000002,0.20000002,-4.5115166,4.5115166
2025-04-09,8.981,0.231,4.7122493,6.7,22.68,9.95,-1.95,4.2437496,2.9,18.954777,-0.96899986,0.96899986,2.181,2.181,0.46849966,0.46849966,3.7999997,3.7999997,3.7252235,3.7252235
2025-04-10,4.2809997,0.13100001,2.7705832,2.0000002,25.919998,6.0,-1.25,2.73125,1.6000001,25.423365,-1.7190003,1.7190003,1.381,1.381,0.039333105,0.039333105,0.4000001,0.4000001,0.49663353,0.49663353
2025-04-11,8.031,2.931,5.9893327,9.8,18.0,9.8,2.3,6.5,6.7,21.02921,-1.769,1.769,0.63100004,0.63100004,-0.5106673,0.5106673,3.1000004,3.1000004,-3.0292091,3.0292091
2025-04-12,14.781,3.0310001,9.414332,0.0,15.84,15.0,1.5,8.664582,0.0,12.632101,-0.21899986,0.21899986,1.5310001,1.5310001,0.74975014,0.74975014,0.0,0.0,3.207899,3.207899
2025-04-13,19.980999,5.0309997,13.2247505,0.0,15.119999,19.85,4.5,12.681251,0.0,15.198012,0.13099861,0.13099861,0.53099966,0.53099966,0.54349995,0.54349995,0.0,0.0,-0.07801342,0.07801342
2025-04-14,22.781,13.581,17.616419,0.0,14.759999,22.45,12.6,16.80833,0.0,11.043261,0.33099937,0.33099937,0.98099995,0.98099995,0.8080883,0.8080883,0.0,0.0,3.7167387,3.7167387
2025-04-15,18.831,11.181001,14.666417,3.1000001,24.119999,19.85,10.0,14.495834,1.1,23.304268,-1.019001,1.019001,1.1810007,1.1810007,0.17058277,0.17058277,2.0,2.0,0.81573105,0.81573105
2025-04-16,22.531,12.331,16.676834,5.7000003,18.359999,23.85,11.9,17.5125,0.6,15.659999,-1.3190002,1.3190002,0.4310007,0.4310007,-0.83566666,0.83566666,5.1000004,5.1000004,2.6999998,2.6999998
2025-04-17,27.230999,14.1310005,20.635166,0.0,15.84,28.4,12.75,20.731249,0.0,17.533146,-1.1690006,1.1690006,1.3810005,1.3810005,-0.09608269,0.09608269,0.0,0.0,-1.6931458,1.6931458
2025-04-18,27.081,17.130999,20.995584,14.1,13.679999,27.25,16.0,20.641665,0.1,13.698934,-0.16900063,0.16900063,1.1309986,1.1309986,0.35391998,0.35391998,14.0,14.0,-0.01893425,0.01893425
2025-04-19,19.630999,13.531,16.568499,0.0,14.4,19.65,11.9,15.691667,0.0,13.681184,-0.019001007,0.019001007,1.6310005,1.6310005,0.876832,0.876832,0.0,0.0,0.7188158,0.7188158
2025-04-20,22.281,12.331,17.645582,0.0,12.24,23.3,10.1,16.945833,0.0,11.903159,-1.0189991,1.0189991,2.231,2.231,0.699749,0.699749,0.0,0.0,0.33684063,0.33684063
2025-04-21,24.781,11.8810005,18.84975,0.0,11.159999,25.2,10.1,18.195833,0.0,8.035746,-0.41900063,0.41900063,1.7810001,1.7810001,0.6539173,0.6539173,0.0,0.0,3.1242533,3.1242533
2025-04-22,21.031,13.6310005,17.795584,0.0,14.759999,22.25,11.95,16.914581,0.0,13.861168,-1.2189999,1.2189999,1.6810007,1.6810007,0.8810024,0.8810024,0.0,0.0,0.89883137,0.89883137
2025-04-23,21.581,10.831,16.685165,0.0,11.159999,21.4,9.25,15.587498,0.0,9.178235,0.18099976,0.18099976,1.5810003,1.5810003,1.0976677,1.0976677,0.0,0.0,1.9817638,1.9817638
2025-04-24,21.880999,13.3810005,17.420584,0.0,18.359999,23.6,11.15,16.970835,1.3000001,14.369594,-1.7190018,1.7190018,2.231001,2.231001,0.449749,0.449749,-1.3000001,1.3000001,3.990405,3.990405
2025-04-25,16.181,8.831,12.7893305,8.5,18.72,16.45,7.4,12.312499,7.2,17.570988,-0.269001,0.269001,1.4310002,1.4310002,0.47683144,0.47683144,1.3000002,1.3000002,1.1490116,1.1490116
2025-04-26,12.8810005,3.9810002,8.928917,0.0,15.4800005,12.45,2.7,7.88125,0.0,14.539945,0.4310007,0.4310007,1.2810001,1.2810001,1.047667,1.047667,0.0,0.0,0.94005585,0.94005585
2025-04-27,13.581,3.831,9.226832,0.0,11.879999,13.95,2.0,8.45625,0.0,9.913082,-0.36899948,0.36899948,1.8310001,1.8310001,0.7705822,0.7705822,0.0,0.0,1.966917,1.966917
2025-04-28,18.730999,5.231,12.708083,0.0,8.28,19.55,3.4,12.224999,0.0,7.889259,-0.81900024,0.81900024,1.8309999,1.8309999,0.48308372,0.48308372,0.0,0.0,0.39074087,0.39074087
2025-04-29,19.730999,10.081,15.424748,0.0,18.72,21.0,7.95,14.927085,0.0,19.770523,-1.269001,1.269001,2.1310005,2.1310005,0.4976635,0.4976635,0.0,0.0,-1.0505238,1.0505238
2025-04-30,20.781,9.681001,16.128918,0.0,18.0,21.15,7.2,15.147916,0.0,15.035119,-0.36899948,0.36899948,2.481001,2.481001,0.98100185,0.98100185,0.0,0.0,2.964881,2.964881
