ts,hour,minute,day_of_week,month,is_weekend,is_peak_hour,demand_mw,rce_pln,gen_wind_mw,gen_solar_mw,gen_coal_mw,gen_renewables_mw,gen_total_mw,renewable_share,flow_pl_de,flow_pl_cz,flow_pl_sk,flow_pl_se,flow_pl_lt,flow_net,market_position_sk,sdac_pln,intraday_rbn_vol,intraday_rbb_vol,crb_cen_cost,crb_ckoeb_cost,co2_pln,oil_usd,temp_forecast,wind_speed_forecast,humidity_forecast,gas_eur,rain_forecast,precipitation_forecast,terrestrial_radiation_forecast,wind_direction_sin,wind_direction_cos
2026-03-25 00:15:00,0.0,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0,0.2896279555963987,0.0,0.6191538518000173,0.0,0.14769599931163802,0.0,0.14406408449811192,0.31990044811075075,0.9631118769544961,0.5214179205639149,0.9997037622198083,0.0,0.5076361221779548,0.8574793067178853,0.4636731794217134,0.485686563688582,0.07658223209764053,0.12187630268325325,0.9350129207089729,0.7474379224901372,0.0,0.0,0.5103447878403314,0.4666667115541171,0.5208333333333333,0.3000000000000004,0.0,0.0,0.0,0.22011124167771168,0.10068224497635359
2026-03-25 00:30:00,0.0,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.2692587211553014,0.0,0.6223357021928916,0.0,0.1628947846856087,0.0,0.15890586979486976,0.3151279786272848,0.9052268811028145,0.40206045818083225,0.9997037622198083,0.0,0.5952855245683931,0.7762153015960122,0.34254891778638447,0.4002173406815184,0.06677025929805425,0.08703569626363014,1.0,0.7508665024741172,0.0,0.0,0.4999999218973703,0.4666667115541171,0.5416666666666665,0.3000000000000004,0.0,0.0,0.0,0.2357211485436,0.0904239778555041
2026-03-25 00:45:00,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.2498293066494946,0.0,0.6346556691247524,0.0,0.1530938525814669,0.0,0.14933514908143092,0.326037078756388,0.8710511200459506,0.32567439338484483,0.9997037622198083,0.0,0.9243027888446216,0.7426030091004711,0.3945274466105545,0.37046495381510536,0.058850373167445846,0.07042717040742444,0.6002973963671117,0.7635514998165934,0.0,0.0,0.49310341037269834,0.4500000159359647,0.5416666666666665,0.3000000000000004,0.0,0.0,0.0,0.25985423974926103,0.07597595192178697
2026-03-25 01:00:00,0.043478260869565216,0.0,0.3333333333333333,0.0,0.0,0.0,0.2200458719668768,0.0,0.6377439729751929,0.0,0.11705575713189342,0.0,0.11414354251511638,0.3443907229855378,0.8434169379028655,0.3946048529212416,0.9997037622198083,0.0,0.9272908366533867,0.7509489184616087,0.4184192685231264,0.33017154389505565,0.05601291994510721,0.0735207003225169,0.6125296296063428,0.7892284197839545,0.0,0.0,0.4827585444297372,0.43333336446940296,0.5416666666666665,0.3000000000000004,0.0,0.0,0.0,0.28479023765703865,0.06269014643030207
2026-03-25 01:15:00,0.043478260869565216,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0,0.23794869846707356,0.0,0.631955358012057,0.0,0.14050824597128742,0.0,0.1370445815010724,0.3301609979779755,0.8191652307103198,0.4247661651077673,0.9997037622198083,0.0,0.9568393094289509,0.7472904376457675,0.5190505297473512,0.36088643949390686,0.049800455918441344,0.028851005945720598,0.594764440699919,0.7679944304290216,0.0,0.0,0.47241374425741156,0.40000001738468877,0.5416666666666665,0.3000000000000004,0.0,0.0,0.0,0.3104607944299478,0.05060297685041654
2026-03-25 01:30:00,0.043478260869565216,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.19940555150314415,0.0,0.6502986515632205,0.0,0.09818607069946683,0.0,0.09571659693209167,0.36111190975000185,0.7933499266066757,0.46292530839094487,0.9997037622198083,0.0,0.7911686586985394,0.7348744683770064,0.5268894562606832,0.3498408755724599,0.04510900913635196,0.02507733824787728,0.5985149043993285,0.7724935059101832,0.0,0.0,0.45862065543743225,0.36666667029997463,0.5416666666666665,0.3000000000000004,0.0,0.0,0.0,0.33679554885621255,0.03974757327377981
2026-03-25 01:45:00,0.043478260869565216,1.0,0.3333333333333333,0.0,0.0,0.0,0.22020577762150811,0.0,0.664633109474391,0.0,0.09545681013557683,0.0,0.09305144321674719,0.3709642818616603,0.7854681217690982,0.5191812389860377,0.9997037622198083,0.0,0.8977423638778221,0.7649426075822015,0.5612148487930126,0.3167429946441047,0.04356807518999667,0.02086487198051734,0.5835790678227191,0.7533031897771423,0.0,0.0,0.44482750084681744,0.3166666717486987,0.5208333333333333,0.3000000000000004,0.0,0.0,0.0,0.37281675497795597,0.027240712200341632
2026-03-25 02:00:00,0.08695652173913043,0.0,0.3333333333333333,0.0,0.0,0.0,0.19825070027114794,0.0,0.6703770644165155,0.0,0.07527542910118201,0.0,0.07334409707463274,0.3854968339212302,0.7759588997383369,0.5681848990104379,0.9997037622198083,0.0,0.49501992031872516,0.7533726620021036,0.6161017590929744,0.2702708996351782,0.03940258402769464,0.03778055683538473,0.5735002860789579,0.7451996137233031,0.0,0.0,0.42758615626450214,0.29999999820634166,0.5208333333333333,0.3000000000000004,0.0,0.0,0.0,0.4004178216320644,0.019369152030840553
2026-03-25 02:15:00,0.08695652173913043,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0,0.18249374778181238,0.0,0.658105561356036,0.0,0.073588029954061,0.0,0.07169633278062598,0.37902189643735745,0.7750654157891378,0.5702182458994172,0.9999999999999999,0.0,0.40504648074369193,0.8309324552979375,0.6197494067839394,0.27023985096638986,0.034840885856222026,0.033699730138879724,0.5057404415047124,0.666480764767972,0.0,0.0,0.41034477879686904,0.3166666717486987,0.5208333333333333,0.3000000000000004,0.0,0.0,0.0,0.4378556484793683,0.010926199633097211
2026-03-25 02:30:00,0.08695652173913043,0.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.1723715856426402,0.0,0.6645743611186757,0.0,0.0802929186929765,0.0,0.07824373223743097,0.37918281280776345,0.7750654157891378,0.5702182458994172,0.9999999999999999,0.0,0.40504648074369193,0.8309324552979375,0.6214443098138491,0.257471085927191,0.03413239269780227,0.03512582548980889,0.5341219890975624,0.7429425900002246,0.0,0.0,0.3896551126815823,0.3333333232152605,0.5208333333333333,0.3000000000000004,0.0,0.0,0.0,0.4758534064172061,0.0048659656292148745
