datetime,price,day_of_week,day,is_weekend,is_business_day,dow_sin,dow_cos,price_lag_1h,price_change_1h,price_lag_2h,price_change_2h,price_lag_3h,price_change_3h,price_lag_6h,price_change_6h,price_lag_12h,price_lag_24h,price_lag_48h,price_mean_6h,price_std_6h,price_max_6h,price_min_6h,price_position_6h,price_mean_12h,price_std_12h,price_max_12h,price_min_12h,price_position_12h,price_mean_24h,price_std_24h,price_max_24h,price_min_24h,price_position_24h,price_mean_48h,price_std_48h,price_max_48h,price_min_48h,price_position_48h,volatility_6h,volatility_24h,temperature,wind_speed,cloud_cover,wind_power_potential,heating_demand
2026-03-03,419.42,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,409.45,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,419.42,-0.02377092174908213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,405.89,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,409.45,-0.008694590304066385,419.42,-0.03225883362739024,,,,,,,,411.58666666666664,7.013503641785144,419.42,405.89,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,403.96,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,405.89,-0.004754982877134162,409.45,-0.013408230553181077,419.42,-0.03686042630298991,,,,,,409.68,6.879995155037055,419.42,403.96,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,406.08,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,403.96,0.005248044360827819,405.89,0.0004681071226193545,409.45,-0.008230553181096556,,,,,,408.96,6.171932436441604,419.42,403.96,0.13712807235632074,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,408.13,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,406.08,0.005048266351457942,403.96,0.010322804238043437,405.89,0.005518736603513208,,,,,,408.82166666666666,5.5307338271396365,419.42,403.96,0.26972833100276344,408.82166666666666,5.5307338271396365,419.42,403.96,0.26972833100276344,,,,,,,,,,,0.013528475318430539,,,,,,
2026-03-03,409.42,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,408.13,0.0031607576017445016,406.08,0.008224980299448514,403.96,0.013516189721754612,419.42,-0.023842449096371232,,,,407.155,2.2050736949136005,409.45,403.96,0.9945355173141479,408.90714285714284,5.053908435675351,419.42,403.96,0.3531694693705258,,,,,,,,,,,0.005415808954608443,,,,,,
2026-03-03,410.58,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,409.42,0.0028332763421423657,408.13,0.006002989243623302,406.08,0.011081560283688008,409.45,0.002759799731346879,,,,407.3433333333333,2.472348411261363,410.58,403.96,0.999999998489426,409.11625,4.71624226174065,419.42,403.96,0.4282018108485104,,,,,,,,,,,0.0060694461132575215,,,,,,
2026-03-03,401.93,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,410.58,-0.02106775780603043,409.42,-0.01829417224366181,408.13,-0.015191238085903946,405.89,-0.009756337924068048,,,,406.68333333333334,3.3208713715930767,410.58,401.93,0.0,408.3177777777778,5.020019366939173,419.42,401.93,0.0,,,,,,,,,,,0.008165742481684545,,,,,,
2026-03-03,403.22,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,401.93,0.0032095140944941036,410.58,-0.017925860977154207,409.42,-0.015143373552830797,403.96,-0.0018318645410435597,,,,406.56,3.4533404118331195,410.58,401.93,0.14913294780447334,407.808,4.999926221677886,419.42,401.93,0.07375643220482879,,,,,,,,,,,0.008494048632017708,,,,,,
2026-03-03,406.93,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,403.22,0.009200932493427905,401.93,0.012439977110442202,410.58,-0.008889863120463692,406.08,0.002093183609141125,,,,406.70166666666665,3.447140360743441,410.58,401.93,0.5780346814126781,407.72818181818184,4.7507279824923945,419.42,401.93,0.2858776442047582,,,,,,,,,,,0.00847584517908731,,,,,,
2026-03-03,406.39,2.0,3.0,0,1,0.9749279121818236,-0.22252093395631434,406.93,-0.0013270095593836961,403.22,0.007861713208670018,401.93,0.011096459582514262,408.13,-0.004263347462818201,,,,406.41166666666663,3.375389854026699,410.58,401.93,0.5156069358201065,407.6166666666666,4.546083895824922,419.42,401.93,0.25500285863064315,407.6166666666666,4.546083895824922,419.42,401.93,0.25500285863064315,,,,,,0.008305346846243832,,,,,,
