datetime,price,hour,day_of_week,month,is_weekend,is_peak_hour,is_super_peak,hour_sin,hour_cos,dow_sin,dow_cos,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_6h,price_lag_12h,price_lag_24h,price_mean_6h,price_std_6h,price_max_6h,price_min_6h,price_mean_12h,price_std_12h,price_max_12h,price_min_12h,price_mean_24h,price_std_24h,price_max_24h,price_min_24h,price_change_1h,price_change_24h,net_flow,active_connections,avg_flow,temperature,wind_speed,cloud_cover,wind_power_potential
2026-03-03,164.1,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,191.87,220.67,237.15,404.98,462.03,,234.24666666666667,55.850156191963556,319.28,164.1,352.1425,157.2772354286879,741.33,164.1,,,,,-0.1447334132485537,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,161.7,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,164.1,191.87,220.67,319.28,419.97,,207.98333333333332,43.56598382530496,272.41,161.7,330.62,164.65020128083108,741.33,161.7,,,,,-0.014625228519195677,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,141.39,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,161.7,164.1,191.87,272.41,446.7,,186.14666666666668,37.182822198788784,237.15,141.39,305.17749999999995,168.62334396383395,741.33,141.39,,,,,-0.12560296846011132,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,148.14,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,141.39,161.7,164.1,237.15,402.33,,171.31166666666664,29.78427331104024,220.67,141.39,283.995,171.25471245009183,741.33,141.39,,,,,0.047740292807129325,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,344.45,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,148.14,141.39,161.7,220.67,404.92,,191.9416666666667,76.71058686170207,344.45,141.39,278.9558333333334,168.23608273972044,741.33,141.39,,,,,1.3251653840961253,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,404.98,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,741.33,404.92,402.33,462.03,,,470.03833333333336,133.94632259478678,741.33,402.33,510.24583333333334,123.738392106333,741.33,402.33,,,,,-0.45371157244412075,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,787.63,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,772.72,344.45,148.14,164.1,404.98,,392.6716666666667,309.52876205074494,787.63,141.39,313.45916666666665,227.62247737939532,787.63,141.39,411.8525,205.43749222298632,787.63,141.39,0.019295475722124422,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,272.41,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,319.28,404.98,741.33,446.7,712.21,,424.2083333333334,164.82673975015913,741.33,272.41,465.25083333333333,130.77512367407536,741.33,272.41,,,,,-0.1467990478576796,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,800.99,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,800.0,728.91,691.67,556.63,464.52,344.45,706.3383333333333,88.63808310577765,800.99,580.15,610.2791666666667,118.0790659191265,800.99,486.57,573.8433333333334,139.76352241232846,817.5,425.62,0.0012375000000000025,1.3254173319785165,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,452.67,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,442.91,458.13,442.11,817.5,161.7,419.97,442.96999999999997,11.56814073220052,458.13,425.62,472.4708333333333,222.71164277270103,817.5,141.39,401.54541666666665,204.78427293934732,817.5,141.39,0.022036079564696998,0.07786270447889132,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
